trial,slot1,slot2,slot3,jackpot
137,7️⃣,⭐,🍒,False
138,🍋,⭐,⭐,False
139,🍋,⭐,🍒,False
140,7️⃣,🍒,🍒,False
141,🍒,⭐,🍒,False
142,7️⃣,🍋,⭐,False
143,⭐,7️⃣,💎,False
144,💎,⭐,🍋,False
145,💎,🍒,7️⃣,False
146,🍋,🍒,🍋,False
147,🍒,🍒,💎,False
148,🍒,⭐,💎,False
149,💎,⭐,⭐,False
150,🍋,🍒,💎,False
151,7️⃣,🍒,🍒,False
152,🍋,7️⃣,⭐,False
153,🍋,⭐,🍋,False
154,⭐,⭐,⭐,True
155,7️⃣,🍋,🍒,False
156,⭐,💎,🍋,False
157,🍒,⭐,⭐,False
158,🍒,💎,7️⃣,False
159,🍒,🍒,💎,False
160,⭐,⭐,💎,False
161,7️⃣,7️⃣,🍒,False
162,🍋,⭐,💎,False
163,🍒,⭐,💎,False
164,🍋,🍋,7️⃣,False
165,🍋,💎,🍋,False
166,💎,⭐,7️⃣,False
167,🍋,7️⃣,💎,False
168,🍋,⭐,🍋,False
169,🍋,💎,🍋,False
170,⭐,⭐,💎,False
171,⭐,💎,🍋,False
172,🍒,7️⃣,7️⃣,False
173,🍒,🍋,⭐,False
174,🍋,💎,🍋,False
175,7️⃣,💎,🍒,False
176,💎,7️⃣,⭐,False
177,⭐,💎,⭐,False
178,🍋,🍒,🍋,False
179,💎,🍋,🍒,False
180,⭐,🍋,🍋,False
181,💎,7️⃣,💎,False
182,💎,🍒,🍋,False
183,7️⃣,7️⃣,💎,False
184,7️⃣,⭐,⭐,False
185,🍒,🍒,💎,False
186,🍋,🍒,💎,False
187,⭐,🍋,🍋,False
188,💎,💎,💎,True
189,💎,7️⃣,7️⃣,False
190,7️⃣,7️⃣,7️⃣,True
191,⭐,🍋,🍒,False
192,⭐,💎,🍋,False
193,💎,🍒,7️⃣,False
194,🍒,💎,⭐,False
195,🍋,🍒,7️⃣,False
196,🍒,⭐,🍋,False
197,🍋,🍒,7️⃣,False
198,7️⃣,🍋,7️⃣,False
199,💎,7️⃣,🍒,False
200,💎,💎,💎,True
201,🍋,⭐,⭐,False
202,🍋,7️⃣,🍋,False
203,7️⃣,7️⃣,💎,False
204,⭐,🍒,💎,False
205,💎,💎,🍋,False
206,7️⃣,🍋,7️⃣,False
207,7️⃣,💎,🍋,False
208,🍒,🍋,⭐,False
209,⭐,7️⃣,⭐,False
210,🍒,🍒,7️⃣,False
211,🍒,⭐,💎,False
212,🍋,⭐,⭐,False
213,🍒,💎,🍋,False
214,💎,🍋,🍋,False
215,⭐,7️⃣,⭐,False
216,⭐,🍋,💎,False
217,7️⃣,7️⃣,💎,False
218,💎,7️⃣,⭐,False
219,🍋,⭐,🍒,False
220,🍒,💎,7️⃣,False
221,⭐,🍒,7️⃣,False
222,⭐,🍋,7️⃣,False
223,🍒,💎,💎,False
224,7️⃣,🍒,🍒,False
225,🍋,💎,🍋,False
226,🍋,🍒,🍋,False
227,💎,💎,🍋,False
228,⭐,🍒,🍋,False
229,🍒,7️⃣,⭐,False
230,🍒,💎,🍋,False
231,🍋,⭐,7️⃣,False
232,7️⃣,💎,7️⃣,False
233,7️⃣,💎,💎,False
234,🍒,7️⃣,🍋,False
235,💎,🍋,⭐,False
236,💎,🍒,🍒,False
237,7️⃣,🍋,⭐,False
238,🍋,7️⃣,💎,False
239,⭐,🍋,🍋,False
240,7️⃣,⭐,7️⃣,False
241,7️⃣,⭐,🍋,False
242,7️⃣,💎,7️⃣,False
243,🍒,🍋,⭐,False
244,🍒,7️⃣,🍒,False
245,🍋,⭐,🍋,False
246,7️⃣,💎,💎,False
247,⭐,7️⃣,⭐,False
248,💎,💎,⭐,False
249,7️⃣,🍒,🍒,False
250,💎,💎,🍒,False
251,⭐,⭐,💎,False
252,⭐,💎,🍒,False
253,🍒,🍋,🍒,False
254,7️⃣,🍋,🍋,False
255,🍒,🍒,⭐,False
256,⭐,7️⃣,7️⃣,False
257,💎,⭐,⭐,False
258,🍒,7️⃣,⭐,False
259,🍋,7️⃣,🍒,False
260,🍒,💎,⭐,False
261,🍋,⭐,⭐,False
262,💎,7️⃣,🍋,False
263,💎,💎,💎,True
264,🍒,7️⃣,🍋,False
265,🍋,7️⃣,💎,False
266,🍒,⭐,⭐,False
267,7️⃣,⭐,🍒,False
268,🍒,⭐,7️⃣,False
269,⭐,🍒,⭐,False
270,💎,💎,⭐,False
271,🍒,🍒,💎,False
272,🍋,🍋,⭐,False
273,7️⃣,💎,💎,False
274,⭐,💎,🍒,False
275,7️⃣,🍋,🍒,False
276,⭐,7️⃣,7️⃣,False
277,🍒,🍒,⭐,False
278,7️⃣,⭐,7️⃣,False
279,💎,💎,💎,True
280,🍋,🍋,⭐,False
281,⭐,🍒,7️⃣,False
282,🍋,7️⃣,⭐,False
283,⭐,7️⃣,💎,False
284,💎,7️⃣,⭐,False
285,🍋,🍒,⭐,False
286,💎,⭐,⭐,False
287,⭐,🍒,7️⃣,False
288,⭐,💎,💎,False
289,7️⃣,💎,7️⃣,False
290,⭐,⭐,💎,False
291,7️⃣,💎,7️⃣,False
292,7️⃣,⭐,💎,False
293,🍒,🍋,⭐,False
294,🍒,7️⃣,🍋,False
295,💎,7️⃣,🍋,False
296,🍒,🍋,7️⃣,False
297,7️⃣,🍒,7️⃣,False
298,💎,🍋,7️⃣,False
299,🍋,🍒,🍒,False
300,7️⃣,7️⃣,🍒,False
301,🍋,⭐,🍒,False
302,⭐,🍋,⭐,False
303,7️⃣,🍒,🍒,False
304,🍒,💎,7️⃣,False
305,🍋,7️⃣,💎,False
306,⭐,💎,💎,False
307,🍋,7️⃣,7️⃣,False
308,7️⃣,💎,🍒,False
309,⭐,7️⃣,⭐,False
310,⭐,💎,⭐,False
311,💎,💎,⭐,False
312,💎,💎,💎,True
313,💎,🍒,🍋,False
314,7️⃣,7️⃣,🍒,False
315,⭐,⭐,🍋,False
316,7️⃣,7️⃣,💎,False
317,🍒,⭐,🍋,False
318,⭐,🍒,7️⃣,False
319,⭐,💎,🍒,False
320,🍒,⭐,7️⃣,False
321,🍒,🍋,🍋,False
322,🍋,🍒,🍒,False
323,💎,⭐,💎,False
324,🍋,💎,🍒,False
325,🍒,🍒,7️⃣,False
326,🍋,💎,💎,False
327,🍒,7️⃣,⭐,False
328,7️⃣,🍒,⭐,False
329,7️⃣,💎,⭐,False
330,7️⃣,⭐,💎,False
331,🍋,💎,⭐,False
332,🍋,🍋,💎,False
333,💎,⭐,⭐,False
334,🍋,🍒,🍒,False
335,🍒,7️⃣,💎,False
336,🍒,⭐,⭐,False
337,7️⃣,🍋,7️⃣,False
338,🍒,💎,🍋,False
339,🍋,🍒,7️⃣,False
340,🍋,🍋,7️⃣,False
341,⭐,💎,7️⃣,False
342,⭐,💎,🍋,False
343,💎,🍋,7️⃣,False
344,🍒,💎,🍋,False
345,⭐,💎,💎,False
346,🍒,⭐,⭐,False
347,🍒,⭐,🍒,False
348,7️⃣,🍒,💎,False
349,⭐,💎,💎,False
350,🍋,⭐,7️⃣,False
351,⭐,7️⃣,🍒,False
352,7️⃣,🍋,🍋,False
353,🍋,🍋,💎,False
354,🍋,🍋,💎,False
355,⭐,💎,💎,False
356,💎,⭐,⭐,False
357,🍒,🍋,💎,False
358,⭐,💎,⭐,False
359,🍒,💎,🍋,False
360,🍋,💎,🍒,False
361,🍒,🍋,💎,False
362,🍋,7️⃣,7️⃣,False
363,⭐,🍒,⭐,False
364,7️⃣,7️⃣,7️⃣,True
365,🍋,🍋,🍒,False
366,🍋,⭐,🍋,False
367,💎,🍋,7️⃣,False
368,⭐,💎,7️⃣,False
369,🍋,🍒,💎,False
370,7️⃣,⭐,7️⃣,False
371,🍋,💎,7️⃣,False
372,🍋,⭐,🍒,False
373,🍒,7️⃣,💎,False
374,🍒,⭐,7️⃣,False
375,🍋,💎,7️⃣,False
376,💎,7️⃣,💎,False
377,7️⃣,⭐,💎,False
378,⭐,⭐,💎,False
379,🍒,⭐,⭐,False
380,🍒,⭐,💎,False
381,🍋,💎,7️⃣,False
382,💎,7️⃣,🍋,False
383,7️⃣,🍋,🍋,False
384,⭐,7️⃣,💎,False
385,7️⃣,🍒,🍒,False
386,💎,🍋,🍋,False
387,⭐,🍋,7️⃣,False
388,7️⃣,7️⃣,🍒,False
389,🍒,⭐,⭐,False
390,🍒,🍋,7️⃣,False
391,💎,⭐,💎,False
392,7️⃣,🍒,🍒,False
393,🍋,💎,💎,False
394,🍒,⭐,🍋,False
395,🍋,🍒,7️⃣,False
396,7️⃣,7️⃣,🍋,False
397,💎,🍒,7️⃣,False
398,7️⃣,🍋,🍒,False
399,⭐,7️⃣,💎,False
400,🍒,⭐,🍒,False
401,🍒,⭐,💎,False
402,7️⃣,🍋,💎,False
403,⭐,🍋,🍒,False
404,🍒,💎,💎,False
405,⭐,💎,7️⃣,False
406,💎,💎,🍒,False
407,🍋,⭐,7️⃣,False
408,7️⃣,🍋,🍒,False
409,🍋,🍒,🍋,False
410,💎,🍋,🍒,False
411,🍒,💎,⭐,False
412,💎,💎,⭐,False
413,7️⃣,7️⃣,🍋,False
414,7️⃣,💎,🍋,False
415,7️⃣,🍒,🍋,False
416,💎,7️⃣,💎,False
417,💎,7️⃣,7️⃣,False
418,7️⃣,⭐,🍋,False
419,7️⃣,🍒,7️⃣,False
420,7️⃣,🍒,⭐,False
421,🍒,🍒,⭐,False
422,⭐,🍒,🍒,False
423,💎,🍋,⭐,False
424,💎,🍋,🍋,False
425,🍋,🍋,⭐,False
426,🍒,🍒,⭐,False
427,⭐,🍒,⭐,False
428,⭐,⭐,🍋,False
429,🍒,💎,💎,False
430,💎,🍋,🍒,False
431,⭐,7️⃣,🍒,False
432,⭐,💎,7️⃣,False
433,💎,7️⃣,⭐,False
434,🍋,7️⃣,7️⃣,False
435,7️⃣,🍋,🍋,False
436,🍋,🍒,7️⃣,False
437,🍒,🍋,💎,False
438,🍋,💎,⭐,False
439,🍒,💎,7️⃣,False
440,⭐,💎,7️⃣,False
441,7️⃣,💎,🍋,False
442,🍒,⭐,💎,False
443,7️⃣,🍒,7️⃣,False
444,🍒,🍒,🍒,True
445,💎,7️⃣,🍋,False
446,🍋,⭐,🍋,False
447,⭐,7️⃣,⭐,False
448,7️⃣,⭐,7️⃣,False
449,⭐,💎,🍋,False
450,⭐,🍒,🍋,False
451,⭐,💎,⭐,False
452,7️⃣,🍒,💎,False
453,🍋,🍒,7️⃣,False
454,7️⃣,⭐,⭐,False
455,🍋,🍋,🍋,True
456,🍋,💎,🍒,False
457,🍋,🍒,🍋,False
458,💎,7️⃣,⭐,False
459,7️⃣,7️⃣,💎,False
460,7️⃣,7️⃣,⭐,False
461,7️⃣,⭐,7️⃣,False
462,🍒,💎,⭐,False
463,💎,⭐,💎,False
464,7️⃣,7️⃣,🍒,False
465,🍋,🍒,🍋,False
466,🍒,⭐,🍒,False
467,🍋,🍋,7️⃣,False
468,🍋,7️⃣,🍋,False
469,💎,🍒,7️⃣,False
470,🍒,⭐,7️⃣,False
471,💎,🍒,⭐,False
472,7️⃣,💎,🍋,False
473,💎,💎,💎,True
474,💎,⭐,💎,False
475,💎,🍋,🍒,False
476,7️⃣,🍒,💎,False
477,🍒,💎,🍋,False
478,🍋,💎,💎,False
479,7️⃣,💎,⭐,False
480,💎,7️⃣,🍒,False
481,7️⃣,💎,💎,False
482,💎,⭐,🍒,False
483,🍋,🍒,💎,False
484,7️⃣,🍋,⭐,False
485,💎,⭐,🍋,False
486,7️⃣,💎,🍋,False
487,💎,⭐,💎,False
488,🍋,🍒,💎,False
489,💎,⭐,7️⃣,False
490,💎,💎,💎,True
491,🍋,⭐,⭐,False
492,🍋,⭐,🍋,False
493,🍋,7️⃣,7️⃣,False
494,7️⃣,⭐,🍋,False
495,💎,🍋,7️⃣,False
496,🍋,🍋,🍒,False
497,🍒,💎,🍋,False
498,💎,💎,🍒,False
499,7️⃣,⭐,💎,False
500,💎,🍋,⭐,False
501,💎,🍒,7️⃣,False
502,🍒,💎,🍒,False
503,7️⃣,7️⃣,🍋,False
504,🍋,🍒,🍋,False
505,⭐,⭐,⭐,True
506,💎,🍋,💎,False
507,🍒,⭐,⭐,False
508,7️⃣,⭐,🍋,False
509,🍒,💎,🍒,False
510,💎,7️⃣,💎,False
511,🍒,7️⃣,7️⃣,False
512,🍋,7️⃣,⭐,False
513,🍒,💎,⭐,False
514,7️⃣,⭐,💎,False
515,7️⃣,7️⃣,⭐,False
516,7️⃣,7️⃣,🍋,False
517,🍒,🍋,⭐,False
518,🍒,⭐,⭐,False
519,7️⃣,💎,🍒,False
520,💎,💎,🍒,False
521,🍋,🍒,💎,False
522,💎,💎,💎,True
523,⭐,🍋,🍋,False
524,⭐,💎,7️⃣,False
525,🍋,💎,⭐,False
526,💎,🍋,💎,False
527,🍋,🍒,💎,False
528,🍋,🍒,7️⃣,False
529,🍋,💎,🍒,False
530,🍒,⭐,⭐,False
531,🍒,🍒,🍋,False
532,🍋,🍋,7️⃣,False
533,🍒,💎,🍒,False
534,💎,⭐,⭐,False
535,7️⃣,🍒,🍋,False
536,🍒,7️⃣,🍒,False
537,🍋,💎,7️⃣,False
538,🍋,⭐,7️⃣,False
539,⭐,💎,⭐,False
540,7️⃣,7️⃣,⭐,False
541,7️⃣,7️⃣,⭐,False
542,💎,7️⃣,7️⃣,False
543,🍒,💎,7️⃣,False
544,⭐,🍋,🍒,False
545,🍋,⭐,💎,False
546,💎,🍒,💎,False
547,🍒,💎,🍋,False
548,🍋,💎,⭐,False
549,🍒,7️⃣,⭐,False
550,7️⃣,🍒,💎,False
551,⭐,🍋,🍋,False
552,💎,7️⃣,🍋,False
553,💎,🍒,7️⃣,False
554,🍒,⭐,7️⃣,False
555,7️⃣,7️⃣,💎,False
556,⭐,7️⃣,7️⃣,False
557,🍒,⭐,7️⃣,False
558,💎,🍋,⭐,False
559,7️⃣,🍒,🍋,False
560,🍋,💎,7️⃣,False
561,⭐,7️⃣,7️⃣,False
562,💎,7️⃣,7️⃣,False
563,7️⃣,🍋,⭐,False
564,🍋,💎,🍋,False
565,💎,7️⃣,🍒,False
566,🍒,🍒,⭐,False
567,7️⃣,💎,💎,False
568,🍒,💎,⭐,False
569,7️⃣,7️⃣,🍋,False
570,💎,⭐,⭐,False
571,🍋,⭐,⭐,False
572,🍋,💎,🍒,False
573,🍋,💎,🍒,False
574,⭐,🍒,⭐,False
575,🍋,⭐,7️⃣,False
576,🍒,💎,7️⃣,False
577,💎,💎,⭐,False
578,🍒,💎,⭐,False
579,💎,💎,🍋,False
580,🍋,🍒,💎,False
581,🍒,7️⃣,⭐,False
582,⭐,⭐,🍋,False
583,7️⃣,💎,⭐,False
584,⭐,🍒,7️⃣,False
585,7️⃣,⭐,🍒,False
586,💎,💎,💎,True
587,⭐,🍋,💎,False
588,⭐,⭐,🍒,False
589,⭐,💎,7️⃣,False
590,⭐,⭐,7️⃣,False
591,7️⃣,⭐,🍒,False
592,7️⃣,7️⃣,7️⃣,True
593,⭐,🍋,💎,False
594,💎,💎,🍋,False
595,💎,🍒,🍒,False
596,💎,7️⃣,🍒,False
597,🍒,💎,7️⃣,False
598,💎,7️⃣,💎,False
599,7️⃣,🍋,💎,False
600,⭐,⭐,🍒,False
601,💎,7️⃣,💎,False
602,🍒,🍒,⭐,False
603,🍒,⭐,7️⃣,False
604,🍒,💎,🍋,False
605,🍋,⭐,🍋,False
606,⭐,🍋,⭐,False
607,🍒,7️⃣,7️⃣,False
608,7️⃣,🍋,⭐,False
609,🍒,7️⃣,⭐,False
610,🍋,7️⃣,7️⃣,False
611,💎,7️⃣,💎,False
612,7️⃣,🍋,💎,False
613,💎,7️⃣,💎,False
614,⭐,7️⃣,🍒,False
615,7️⃣,💎,⭐,False
616,💎,⭐,🍋,False
617,🍋,⭐,🍒,False
618,💎,🍒,💎,False
619,7️⃣,💎,💎,False
620,🍒,🍋,🍋,False
621,7️⃣,💎,🍋,False
622,💎,🍋,🍒,False
623,7️⃣,⭐,🍋,False
624,🍋,🍋,🍒,False
625,7️⃣,🍒,🍒,False
626,💎,💎,🍋,False
627,💎,🍋,⭐,False
628,🍒,7️⃣,💎,False
629,🍋,💎,⭐,False
630,🍒,💎,⭐,False
631,🍋,⭐,🍒,False
632,⭐,🍒,💎,False
633,⭐,⭐,7️⃣,False
634,⭐,⭐,🍋,False
635,💎,7️⃣,⭐,False
636,🍒,7️⃣,🍒,False
637,🍒,🍒,🍋,False
638,🍋,⭐,7️⃣,False
639,⭐,7️⃣,⭐,False
640,🍋,💎,🍒,False
641,⭐,🍒,💎,False
642,7️⃣,⭐,7️⃣,False
643,🍒,💎,🍋,False
644,💎,🍋,🍋,False
645,🍒,🍋,💎,False
646,⭐,🍋,⭐,False
647,7️⃣,⭐,⭐,False
648,⭐,7️⃣,7️⃣,False
649,7️⃣,🍒,💎,False
650,🍋,⭐,🍒,False
651,🍋,🍋,⭐,False
652,⭐,7️⃣,🍋,False
653,💎,💎,🍋,False
654,💎,🍒,⭐,False
655,🍋,🍒,7️⃣,False
656,7️⃣,🍒,7️⃣,False
657,⭐,💎,⭐,False
658,🍒,💎,💎,False
659,🍒,🍒,💎,False
660,🍋,💎,🍒,False
661,💎,🍋,🍋,False
662,🍋,🍋,7️⃣,False
663,⭐,7️⃣,7️⃣,False
664,7️⃣,🍒,7️⃣,False
665,🍒,7️⃣,🍋,False
666,7️⃣,💎,⭐,False
667,💎,🍋,🍒,False
668,🍒,7️⃣,🍒,False
669,💎,🍋,🍒,False
670,💎,💎,💎,True
671,🍋,⭐,7️⃣,False
672,🍒,🍒,7️⃣,False
673,💎,⭐,7️⃣,False
674,⭐,🍒,⭐,False
675,🍒,🍋,7️⃣,False
676,🍋,💎,7️⃣,False
677,💎,7️⃣,⭐,False
678,🍒,💎,⭐,False
679,🍋,🍋,7️⃣,False
680,⭐,💎,💎,False
681,🍒,💎,⭐,False
682,🍋,🍋,🍒,False
683,💎,7️⃣,7️⃣,False
684,🍒,🍋,⭐,False
685,🍋,🍋,7️⃣,False
686,🍋,🍋,7️⃣,False
687,7️⃣,⭐,🍋,False
688,🍋,💎,⭐,False
689,💎,💎,⭐,False
690,🍋,⭐,⭐,False
691,🍒,💎,💎,False
692,7️⃣,7️⃣,⭐,False
693,🍋,💎,🍒,False
694,7️⃣,⭐,💎,False
695,🍒,⭐,7️⃣,False
696,💎,🍋,🍋,False
697,🍒,💎,🍋,False
698,🍒,⭐,🍒,False
699,⭐,⭐,⭐,True
700,🍋,🍒,💎,False
701,💎,🍒,🍒,False
702,💎,🍒,🍒,False
703,🍒,🍋,💎,False
704,💎,🍒,⭐,False
705,🍋,⭐,🍒,False
706,7️⃣,🍋,7️⃣,False
707,🍒,💎,⭐,False
708,🍋,🍒,7️⃣,False
709,⭐,7️⃣,7️⃣,False
710,🍒,7️⃣,🍒,False
711,⭐,7️⃣,7️⃣,False
712,🍋,🍒,7️⃣,False
713,🍋,💎,🍋,False
714,7️⃣,🍒,🍒,False
715,💎,🍋,🍋,False
716,🍒,🍒,🍋,False
717,7️⃣,💎,🍒,False
718,🍒,🍋,7️⃣,False
719,🍋,💎,🍒,False
720,🍒,🍒,7️⃣,False
721,🍒,⭐,💎,False
722,⭐,💎,7️⃣,False
723,7️⃣,🍋,⭐,False
724,💎,🍒,⭐,False
725,💎,💎,🍋,False
726,🍒,🍋,⭐,False
727,🍋,⭐,⭐,False
728,💎,⭐,7️⃣,False
729,7️⃣,🍒,🍒,False
730,⭐,7️⃣,💎,False
731,7️⃣,🍋,🍋,False
732,🍒,🍋,7️⃣,False
733,💎,🍒,💎,False
734,💎,🍋,🍋,False
735,🍒,⭐,7️⃣,False
736,7️⃣,🍒,⭐,False
737,💎,⭐,7️⃣,False
738,🍒,🍒,🍋,False
739,7️⃣,💎,🍒,False
740,💎,💎,🍒,False
741,⭐,🍋,7️⃣,False
742,🍒,🍋,🍋,False
743,7️⃣,💎,💎,False
744,7️⃣,🍋,🍒,False
745,7️⃣,7️⃣,⭐,False
746,7️⃣,⭐,🍒,False
747,💎,⭐,🍒,False
748,7️⃣,🍒,⭐,False
749,🍋,🍒,⭐,False
750,7️⃣,7️⃣,7️⃣,True
751,7️⃣,7️⃣,7️⃣,True
752,🍒,🍋,💎,False
753,7️⃣,⭐,7️⃣,False
754,7️⃣,💎,⭐,False
755,💎,7️⃣,⭐,False
756,⭐,7️⃣,🍋,False
757,🍒,💎,💎,False
758,💎,🍋,🍋,False
759,🍋,🍒,⭐,False
760,7️⃣,7️⃣,💎,False
761,🍒,7️⃣,7️⃣,False
762,7️⃣,💎,⭐,False
763,⭐,💎,💎,False
764,⭐,🍒,🍒,False
765,⭐,⭐,💎,False
766,🍒,💎,🍋,False
767,7️⃣,7️⃣,💎,False
768,🍒,🍒,💎,False
769,💎,🍋,💎,False
770,💎,7️⃣,🍋,False
771,🍒,💎,💎,False
772,💎,7️⃣,🍋,False
773,⭐,🍒,💎,False
774,🍋,💎,🍋,False
775,💎,7️⃣,🍒,False
776,🍒,🍒,⭐,False
777,💎,🍒,🍒,False
778,🍋,⭐,🍒,False
779,🍋,⭐,7️⃣,False
780,💎,⭐,⭐,False
781,🍋,⭐,⭐,False
782,⭐,💎,7️⃣,False
783,7️⃣,7️⃣,🍒,False
784,⭐,🍋,7️⃣,False
785,💎,💎,💎,True
786,7️⃣,⭐,🍋,False
787,⭐,🍒,7️⃣,False
788,💎,🍒,⭐,False
789,🍒,💎,🍋,False
790,⭐,💎,⭐,False
791,7️⃣,7️⃣,🍋,False
792,🍒,⭐,🍒,False
793,💎,🍋,💎,False
794,🍋,⭐,🍒,False
795,🍋,💎,7️⃣,False
796,💎,🍒,⭐,False
797,💎,7️⃣,7️⃣,False
798,💎,7️⃣,7️⃣,False
799,🍒,🍒,💎,False
800,💎,🍋,⭐,False
801,💎,⭐,🍒,False
802,💎,7️⃣,7️⃣,False
803,🍋,7️⃣,⭐,False
804,🍋,🍒,🍒,False
805,🍒,🍒,🍒,True
806,🍋,🍋,⭐,False
807,7️⃣,🍒,💎,False
808,💎,🍒,7️⃣,False
809,💎,💎,7️⃣,False
810,⭐,⭐,🍋,False
811,🍒,💎,💎,False
812,7️⃣,7️⃣,🍋,False
813,⭐,🍒,🍋,False
814,⭐,⭐,7️⃣,False
815,💎,⭐,🍒,False
816,🍋,⭐,⭐,False
817,⭐,⭐,💎,False
818,💎,🍋,⭐,False
819,7️⃣,7️⃣,🍋,False
820,🍋,🍒,🍒,False
821,💎,🍒,🍒,False
822,🍒,⭐,🍋,False
823,💎,🍒,🍋,False
824,💎,⭐,7️⃣,False
825,⭐,🍒,⭐,False
826,7️⃣,7️⃣,🍋,False
827,⭐,⭐,🍒,False
828,⭐,💎,⭐,False
829,⭐,⭐,🍒,False
830,🍒,7️⃣,7️⃣,False
831,7️⃣,💎,💎,False
832,🍋,🍒,7️⃣,False
833,💎,💎,💎,True
834,⭐,💎,🍋,False
835,⭐,💎,🍒,False
836,🍋,🍋,💎,False
837,💎,🍒,🍒,False
838,💎,7️⃣,7️⃣,False
839,⭐,7️⃣,⭐,False
840,7️⃣,🍒,🍒,False
841,7️⃣,🍋,7️⃣,False
